fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
44	77	0.571	11	24	0.458	19	24	0.792	7	35	42	31	7	2	20	22	118	19834	 01-00 
38	100	0.38	9	27	0.333	20	25	0.8	16	27	43	20	9	7	14	37	105	18142	 01-01 
32	80	0.4	7	19	0.368	40	46	0.87	14	31	45	18	12	4	11	20	111	20262	 02-01 
49	94	0.521	13	27	0.481	12	14	0.857	10	40	50	34	10	3	12	14	123	19670	 03-01 
36	85	0.424	9	23	0.391	12	14	0.857	11	25	36	17	12	2	21	16	93	18203	 03-02 
44	90	0.489	10	22	0.455	10	15	0.667	14	26	40	21	9	7	17	21	108	13677	 03-03 
33	78	0.423	6	19	0.316	19	21	0.905	12	35	47	17	11	5	19	18	91	16448	 04-03 
41	84	0.488	10	26	0.385	13	19	0.684	11	31	42	25	9	2	15	20	105	19627	 05-03 
37	74	0.5	12	28	0.429	18	21	0.857	6	28	34	22	11	6	24	20	104	19772	 05-04 
43	84	0.512	10	27	0.37	12	18	0.667	5	25	30	27	12	3	8	22	108	15039	 06-04 
34	78	0.436	9	29	0.31	20	26	0.769	10	43	53	26	8	11	20	20	97	19790	 07-04 
42	72	0.583	11	22	0.5	28	33	0.848	7	29	36	26	9	5	15	26	123	20045	 08-04 
38	75	0.507	7	17	0.412	20	27	0.741	13	28	41	19	10	4	16	17	103	19781	 09-04 
35	87	0.402	7	21	0.333	23	25	0.92	7	32	39	17	8	2	11	19	100	17841	 09-05 
38	82	0.463	5	19	0.263	15	19	0.789	10	26	36	18	5	3	13	22	96	19677	 09-06 
44	99	0.444	7	18	0.389	8	10	0.8	12	31	43	27	9	4	6	22	103	20211	 10-06 
29	77	0.377	9	24	0.375	20	21	0.952	10	34	44	17	9	4	18	21	87	15463	 10-07 
45	92	0.489	7	24	0.292	9	11	0.818	13	24	37	29	9	4	11	26	106	20173	 10-08 
33	82	0.402	8	21	0.381	15	17	0.882	7	38	45	16	3	3	9	18	89	19612	 11-08 
37	86	0.43	11	24	0.458	15	22	0.682	8	30	38	25	8	8	7	16	100	14524	 12-08 
46	87	0.529	8	16	0.5	8	11	0.727	7	29	36	26	7	3	12	21	108	20142	 13-08 
37	95	0.389	5	27	0.185	18	20	0.9	9	30	39	22	14	4	16	25	97	15329	 13-09 
37	88	0.42	8	23	0.348	11	14	0.786	8	35	43	24	9	4	11	15	93	19596	 13-10 
42	88	0.477	10	24	0.417	12	18	0.667	12	33	45	25	9	3	16	18	106	19973	 14-10 
40	73	0.548	5	15	0.333	20	23	0.87	11	31	42	25	11	10	15	16	105	19425	 15-10 
46	91	0.505	10	21	0.476	6	10	0.6	11	34	45	31	13	3	15	17	108	19406	 15-11 
44	91	0.484	3	17	0.176	17	23	0.739	13	23	36	25	10	8	11	15	108	15241	 15-12 
40	79	0.506	11	22	0.5	20	23	0.87	9	24	33	23	13	4	11	22	111	18328	 16-12 
39	85	0.459	5	17	0.294	24	31	0.774	9	32	41	18	12	6	14	26	107	20305	 16-13 
41	78	0.526	13	26	0.5	10	11	0.909	7	32	39	26	8	7	16	20	105	22099	 17-13 
41	86	0.477	6	24	0.25	12	14	0.857	9	30	39	33	12	5	11	20	100	16111	 18-13 
30	78	0.385	6	24	0.25	21	23	0.913	12	32	44	18	12	3	15	12	87	15713	 19-13 
45	88	0.511	12	28	0.429	10	14	0.714	11	28	39	29	8	1	11	25	112	20187	 19-14 
32	78	0.41	6	26	0.231	10	18	0.556	7	27	34	13	6	1	10	17	80	19892	 19-15 
48	90	0.533	5	17	0.294	9	15	0.6	6	34	40	32	17	3	12	17	110	19656	 20-15 
39	93	0.419	7	19	0.368	5	8	0.625	9	23	32	20	10	3	7	19	90	18581	 20-16 
41	78	0.526	14	28	0.5	11	16	0.688	11	28	39	32	9	7	12	17	107	16533	 21-16 
30	67	0.448	11	27	0.407	39	45	0.867	5	25	30	20	11	3	14	23	110	20116	 22-16 
40	79	0.506	13	27	0.481	14	15	0.933	9	31	40	21	6	6	12	16	107	19695	 23-16 
51	97	0.526	12	25	0.48	13	21	0.619	17	30	47	37	7	2	9	24	127	19208	 23-17 
44	83	0.53	9	24	0.375	13	19	0.684	7	37	44	22	8	4	16	21	110	16486	 24-17 
42	90	0.467	7	18	0.389	20	25	0.8	4	26	30	15	5	3	8	23	111	20375	 24-18 
38	83	0.458	4	20	0.2	22	28	0.786	8	31	39	22	7	3	8	25	102	18762	 25-18 
34	73	0.466	7	20	0.35	10	14	0.714	7	26	33	22	5	1	21	24	85	18179	 25-19 
34	78	0.436	10	20	0.5	28	33	0.848	15	28	43	22	6	0	15	21	106	16110	 25-20 
43	74	0.581	7	21	0.333	23	28	0.821	7	32	39	23	6	7	17	19	116	19662	 26-20 
40	86	0.465	5	19	0.263	30	36	0.833	13	28	41	20	5	4	14	29	115	19359	 26-21 
