fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
37,84,0.44,10,29,15,19,0.789,9,36,45,28,12,1,12,10,99,19596, 41-24 
34,81,0.42,12,33,19,23,0.826,9,25,34,19,11,2,18,23,99,17147, 41-25 
40,86,0.465,16,37,4,4,1,12,39,51,22,14,5,21,14,100,18624, 42-25 
43,79,0.544,13,33,18,21,0.857,5,32,37,34,2,5,10,16,117,18624, 43-25 
34,85,0.4,7,29,23,29,0.793,8,43,51,20,7,6,12,23,98,17732, 44-25 
34,84,0.405,6,29,25,29,0.862,8,33,41,27,8,5,17,15,99,19446, 44-26 
40,93,0.43,10,33,20,28,0.714,19,34,53,19,10,6,13,24,110,18624, 45-26 
43,84,0.512,11,27,12,14,0.857,10,33,43,27,5,2,16,17,109,18624, 46-26 
44,94,0.468,14,41,28,35,0.8,12,38,50,31,8,5,15,32,130,18624, 47-26 
41,77,0.532,8,24,22,25,0.88,8,27,35,32,8,3,16,19,112,18624, 48-26 
35,88,0.398,12,37,18,23,0.783,15,27,42,24,8,3,16,18,100,18624, 48-27 
38,84,0.452,12,33,29,34,0.853,5,40,45,27,6,5,11,18,117,18624, 49-27 
40,72,0.556,12,37,18,26,0.692,5,36,41,22,8,3,17,25,110,19812, 50-27 
33,81,0.407,7,33,18,29,0.621,8,30,38,21,6,4,12,18,91,18624, 50-28 
37,90,0.411,15,43,27,34,0.794,10,28,38,28,9,4,12,29,116,18688, 50-29 
45,87,0.517,17,39,14,17,0.824,5,38,43,35,2,5,9,19,121,19407, 51-29 
41,91,0.451,14,38,18,21,0.857,9,42,51,31,7,4,13,23,114,18624, 52-29 
41,91,0.451,12,37,18,26,0.692,11,35,46,31,12,3,8,17,112,18624, 53-29 
