fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
38,87,0.437,10,20,21,23,0.913,10,33,43,21,9,9,7,19,107,15458, 36-34 
38,87,0.437,11,28,13,19,0.684,18,27,45,20,13,6,13,19,100,18624, 36-35 
48,95,0.505,13,24,8,11,0.727,11,28,39,19,9,8,12,29,117,17923, 36-36 
38,89,0.427,7,17,24,29,0.828,12,39,51,16,9,4,9,13,107,16467, 37-36 
40,81,0.494,5,18,29,35,0.829,11,26,37,25,8,5,14,22,114,17534, 37-37 
37,85,0.435,10,25,13,15,0.867,12,31,43,19,5,7,12,18,97,16367, 37-38 
36,87,0.414,11,26,17,21,0.81,12,30,42,19,7,4,13,21,100,19800, 37-39 
48,105,0.457,16,41,18,20,0.9,12,34,46,32,6,3,9,24,130,20562, 37-40 
39,89,0.438,12,25,18,18,1,10,33,43,16,7,4,11,17,108,16524, 38-40 
38,80,0.475,8,25,20,26,0.769,12,32,44,20,15,3,16,12,104,17010, 39-40 
51,86,0.593,11,22,14,19,0.737,6,39,45,35,6,4,15,15,127,18846, 40-40 
49,85,0.576,5,16,17,21,0.81,14,30,44,30,9,5,14,23,120,14622, 41-40 
39,82,0.476,10,24,16,19,0.842,8,33,41,21,5,7,10,14,104,17923, 42-40 
