fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
47,79,0.595,10,21,17,20,0.85,6,37,43,34,6,5,7,17,121,17444, 29-36 
46,102,0.451,13,46,17,20,0.85,11,39,50,32,5,1,9,14,122,18196, 29-37 
43,93,0.462,7,29,16,19,0.842,11,33,44,25,4,3,6,18,109,16489, 29-38 
32,80,0.4,3,23,10,13,0.769,3,27,30,15,9,4,10,13,77,14169, 29-39 
35,82,0.427,9,24,19,27,0.704,6,35,41,23,8,8,7,20,98,19361, 30-39 
40,80,0.5,12,30,13,20,0.65,5,28,33,28,12,4,7,13,105,14278, 31-39 
42,90,0.467,9,27,16,18,0.889,12,31,43,24,9,3,10,12,109,16034, 32-39 
38,90,0.422,10,38,19,24,0.792,14,28,42,18,6,4,9,17,105,19511, 32-40 
42,87,0.483,14,30,22,24,0.917,8,33,41,29,8,2,7,14,120,17292, 33-40 
39,80,0.488,7,28,23,29,0.793,5,26,31,25,7,1,2,12,108,16505, 33-41 
39,86,0.453,16,32,16,21,0.762,11,27,38,23,6,2,8,18,110,19800, 34-41 
40,86,0.465,17,36,25,30,0.833,10,33,43,26,10,11,6,17,122,18353, 35-41 
37,77,0.481,11,30,28,32,0.875,3,34,37,20,18,5,16,13,113,18203, 36-41 
40,79,0.506,12,34,19,22,0.864,9,28,37,21,5,3,16,17,111,18614, 36-42 
35,78,0.449,8,25,21,24,0.875,4,32,36,19,2,7,6,15,99,17758, 36-43 
38,84,0.452,9,28,29,32,0.906,7,35,42,22,5,5,7,15,114,19407, 36-44 
33,81,0.407,5,18,8,13,0.615,7,32,39,21,11,5,9,10,79,18717, 36-45 
29,88,0.33,3,23,15,19,0.789,15,25,40,16,11,1,13,17,76,14205, 36-46 
