fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
38,98,0.388,9,39,9,12,0.75,11,38,49,24,9,4,18,21,94,21995, 31-34 
33,87,0.379,7,25,7,9,0.778,12,28,40,18,13,3,17,10,80,18624, 31-35 
41,92,0.446,14,40,19,22,0.864,12,38,50,29,6,5,10,20,115,16489, 32-35 
34,91,0.374,11,28,12,15,0.8,14,31,45,22,6,6,5,19,91,21583, 32-36 
44,88,0.5,7,27,12,18,0.667,15,38,53,28,5,5,18,19,107,20356, 32-37 
38,80,0.475,7,19,12,14,0.857,7,32,39,24,7,9,10,18,95,21953, 33-37 
42,90,0.467,14,37,22,27,0.815,9,30,39,25,9,10,14,24,120,19800, 33-38 
47,80,0.588,11,23,12,19,0.632,7,29,36,36,12,2,11,20,117,21503, 34-38 
37,91,0.407,10,24,23,31,0.742,15,24,39,22,9,5,14,15,107,21558, 34-39 
46,85,0.541,10,21,7,10,0.7,10,39,49,33,4,2,14,16,109,17669, 35-39 
38,90,0.422,12,25,11,18,0.611,15,36,51,26,11,3,12,15,99,22282, 36-39 
40,85,0.471,12,30,14,14,1,6,34,40,25,6,4,12,17,106,22019, 37-39 
45,92,0.489,13,26,14,18,0.778,9,40,49,26,7,6,11,23,117,18306, 38-39 
32,85,0.376,6,27,21,23,0.913,11,26,37,22,7,5,14,15,91,19812, 38-40 
39,91,0.429,8,25,16,17,0.941,10,47,57,27,7,6,16,19,102,15177, 39-40 
40,90,0.444,11,24,15,17,0.882,11,41,52,14,6,6,17,20,106,17732, 39-41 
48,89,0.539,12,26,14,16,0.875,11,43,54,33,12,4,12,16,122,21545, 40-41 
41,95,0.432,14,30,16,21,0.762,14,48,62,28,15,4,12,18,112,21648, 41-41 
