fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
31,79,0.392,11,28,12,15,0.8,9,32,41,18,3,6,14,19,85,17608, 25-34 
36,82,0.439,6,17,10,15,0.667,7,35,42,23,6,4,18,18,88,17608, 25-35 
35,81,0.432,11,22,19,22,0.864,10,28,38,12,8,3,15,28,100,17608, 25-36 
43,83,0.518,8,17,15,20,0.75,5,32,37,24,8,3,12,21,109,17608, 25-37 
36,83,0.434,6,16,18,21,0.857,11,29,40,20,9,1,15,18,96,11614, 25-38 
42,86,0.488,7,19,13,16,0.813,5,37,42,20,7,3,13,22,104,18418, 25-39 
44,92,0.478,12,23,22,28,0.786,8,32,40,27,5,1,10,21,122,17608, 25-40 
36,82,0.439,8,23,12,20,0.6,10,31,41,24,4,2,12,15,92,17608, 25-41 
44,82,0.537,16,30,16,21,0.762,2,39,41,24,8,6,15,14,120,17608, 26-41 
38,79,0.481,6,14,25,34,0.735,8,40,48,22,8,11,18,18,107,17196, 27-41 
35,85,0.412,5,21,19,23,0.826,9,26,35,16,9,2,12,22,94,18203, 27-42 
41,83,0.494,7,10,13,17,0.765,9,31,40,29,4,4,11,20,102,18418, 27-43 
41,84,0.488,10,26,6,10,0.6,8,29,37,19,6,6,12,15,98,17608, 27-44 
40,83,0.482,10,21,10,13,0.769,6,31,37,27,7,4,19,16,100,19596, 27-45 
38,84,0.452,13,28,9,13,0.692,6,40,46,23,5,4,12,25,98,19060, 28-45 
31,67,0.463,6,25,23,30,0.767,8,28,36,16,4,6,11,23,91,17608, 29-45 
34,75,0.453,2,15,12,18,0.667,2,30,32,14,7,1,13,17,82,17608, 29-46 
35,90,0.389,6,20,13,17,0.765,14,38,52,18,7,6,20,17,89,17304, 29-47 
44,78,0.564,11,19,24,33,0.727,7,33,40,27,5,4,17,27,123,18960, 30-47 
36,81,0.444,12,22,14,17,0.824,11,40,51,17,11,2,18,10,98,17608, 31-47 
38,75,0.507,8,20,10,13,0.769,10,30,40,27,5,6,23,19,94,18997, 31-48 
47,94,0.5,9,31,25,30,0.833,7,31,38,26,8,2,5,18,128,17608, 31-49 
43,83,0.518,9,19,34,43,0.791,8,47,55,28,7,2,13,23,129,17608, 32-49 
40,81,0.494,5,11,10,14,0.714,7,30,37,27,2,1,10,18,95,19060, 32-50 
