fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
35,84,0.417,9,27,13,23,0.565,12,27,39,20,11,5,11,15,92,17923, 34-25 
36,80,0.45,11,33,22,25,0.88,13,36,49,21,9,2,15,20,105,18024, 35-25 
48,86,0.558,12,25,22,29,0.759,12,27,39,24,6,3,10,19,130,15871, 36-25 
38,82,0.463,9,28,15,22,0.682,7,32,39,16,4,0,10,23,100,19480, 36-26 
43,97,0.443,8,28,14,21,0.667,17,29,46,26,8,6,13,24,108,18055, 36-27 
34,77,0.442,10,25,31,39,0.795,8,29,37,23,7,2,15,29,109,15505, 36-28 
37,83,0.446,7,20,17,22,0.773,6,28,34,26,6,2,9,22,98,16642, 36-29 
34,90,0.378,5,29,17,23,0.739,13,28,41,22,11,3,13,21,90,17523, 36-30 
41,79,0.519,14,27,17,23,0.739,11,26,37,30,11,0,12,20,113,16770, 37-30 
36,85,0.424,11,31,15,18,0.833,14,38,52,26,2,3,11,19,98,21583, 38-30 
39,92,0.424,10,28,15,18,0.833,16,32,48,29,7,5,11,25,103,17063, 39-30 
32,76,0.421,13,30,27,31,0.871,7,28,35,20,7,3,10,18,104,18119, 40-30 
32,79,0.405,9,35,9,13,0.692,4,37,41,17,7,3,15,20,82,15973, 40-31 
34,78,0.436,10,29,12,15,0.8,10,32,42,18,4,4,13,18,90,18418, 40-32 
38,85,0.447,8,29,10,15,0.667,13,24,37,21,11,0,13,13,94,19596, 40-33 
31,90,0.344,5,26,23,29,0.793,19,26,45,15,4,2,7,18,90,17608, 40-34 
41,88,0.466,12,32,16,18,0.889,9,34,43,22,8,3,8,19,110,16367, 41-34 
35,75,0.467,11,27,18,20,0.9,8,39,47,23,4,4,13,22,99,17317, 42-34 
40,80,0.5,13,30,10,14,0.714,5,28,33,29,8,5,14,19,103,18997, 42-35 
35,89,0.393,8,25,11,18,0.611,12,38,50,26,9,2,15,20,89,18418, 42-36 
37,78,0.474,9,26,17,21,0.81,7,31,38,21,7,5,13,18,100,17298, 42-37 
38,75,0.507,15,27,10,12,0.833,7,31,38,20,3,9,12,14,101,17631, 43-37 
36,75,0.48,9,21,9,13,0.692,6,24,30,23,12,3,15,16,90,16521, 43-38 
33,84,0.393,8,25,19,22,0.864,16,32,48,18,4,5,14,23,93,16274, 43-39 
