fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
42,94,0.447,12,34,7,13,0.538,10,26,36,26,8,3,7,23,103,19060, 36-24 
36,64,0.563,8,19,21,36,0.583,7,31,38,23,4,1,23,18,101,16208, 36-25 
41,85,0.482,6,25,13,16,0.813,11,26,37,20,7,5,14,17,101,22807, 37-25 
39,73,0.534,9,20,29,47,0.617,8,39,47,23,7,5,13,24,116,19283, 38-25 
35,83,0.422,9,24,12,18,0.667,10,26,36,18,9,3,16,18,91,14933, 38-26 
40,78,0.513,11,30,23,28,0.821,7,40,47,24,2,4,14,18,114,16642, 39-26 
40,81,0.494,8,25,24,29,0.828,8,33,41,25,13,3,13,13,112,19060, 40-26 
39,78,0.5,12,30,18,23,0.783,3,25,28,16,4,2,6,22,108,19911, 40-27 
35,75,0.467,5,24,21,29,0.724,6,36,42,23,3,4,15,20,96,19060, 40-28 
44,84,0.524,16,32,10,15,0.667,4,30,34,26,5,4,9,19,114,14179, 40-29 
40,78,0.513,8,26,20,29,0.69,7,47,54,27,4,3,14,15,108,19379, 41-29 
43,87,0.494,10,31,18,24,0.75,9,34,43,25,8,4,9,19,114,19060, 42-29 
45,84,0.536,15,33,28,32,0.875,13,35,48,23,4,4,15,21,133,18724, 43-29 
36,80,0.45,9,27,14,21,0.667,9,36,45,18,6,2,17,16,95,19703, 43-30 
38,84,0.452,7,27,25,28,0.893,11,36,47,14,9,5,10,17,108,19060, 44-30 
32,78,0.41,10,29,23,28,0.821,6,39,45,20,7,2,9,14,97,19060, 44-31 
47,83,0.566,12,30,27,37,0.73,8,33,41,27,6,4,10,22,133,19060, 45-31 
44,80,0.55,12,22,24,34,0.706,7,32,39,20,4,4,14,21,124,16736, 46-31 
38,69,0.551,11,25,28,34,0.824,4,35,39,24,8,5,17,19,115,19060, 47-31 
38,75,0.507,12,31,24,31,0.774,5,35,40,22,11,0,15,19,112,19060, 48-31 
42,84,0.5,6,22,8,14,0.571,8,37,45,21,8,7,6,15,98,18420, 49-31 
46,91,0.505,10,26,23,28,0.821,12,37,49,29,9,0,9,16,125,19163, 50-31 
43,83,0.518,10,28,19,25,0.76,11,32,43,29,4,6,6,15,115,19060, 51-31 
