fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
35,75,0.467,7,21,17,20,0.85,3,33,36,20,2,4,11,23,94,16775, 37-26 
36,76,0.474,8,21,14,23,0.609,8,34,42,21,6,6,11,18,94,14543, 38-26 
37,92,0.402,4,25,21,27,0.778,16,30,46,19,17,5,11,28,99,16078, 38-27 
33,88,0.375,2,15,21,25,0.84,16,32,48,7,6,5,12,20,89,19745, 38-28 
37,78,0.474,9,25,17,18,0.944,9,46,55,19,7,6,12,16,100,19800, 39-28 
37,81,0.457,5,20,23,30,0.767,6,26,32,15,10,10,14,20,102,19800, 39-29 
30,78,0.385,9,27,18,20,0.9,8,45,53,19,5,2,12,21,87,16541, 40-29 
45,91,0.495,12,27,14,16,0.875,14,37,51,25,7,7,16,20,116,19800, 41-29 
47,95,0.495,8,23,20,27,0.741,16,34,50,18,6,4,16,23,122,19800, 42-29 
35,79,0.443,6,23,25,32,0.781,11,40,51,10,9,3,17,21,101,19745, 43-29 
39,81,0.481,9,21,7,9,0.778,12,32,44,22,9,3,14,21,94,19934, 44-29 
49,83,0.59,10,15,23,35,0.657,9,34,43,24,7,8,15,25,131,19800, 45-29 
38,83,0.458,11,31,19,24,0.792,13,31,44,23,4,7,13,22,106,19800, 45-30 
37,82,0.451,14,27,23,35,0.657,16,37,53,23,7,5,14,23,111,19800, 46-30 
46,85,0.541,6,19,15,19,0.789,10,27,37,25,12,9,15,19,113,19800, 47-30 
34,76,0.447,5,23,17,19,0.895,6,34,40,11,7,5,13,19,90,16524, 47-31 
41,87,0.471,10,30,13,15,0.867,7,29,36,29,7,2,11,14,105,17578, 48-31 
35,85,0.412,9,20,17,24,0.708,12,32,44,14,10,4,15,24,96,19800, 49-31 
40,77,0.519,10,31,20,23,0.87,5,36,41,20,8,1,10,14,110,19812, 50-31 
40,86,0.465,8,26,10,16,0.625,12,36,48,20,8,2,8,20,98,20562, 51-31 
