fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts,attend,W/L
38,80,0.475,6,21,18,30,0.6,4,45,49,19,10,8,5,18,100,15530,New Orleans Pelicans (27-40)
42,88,0.477,9,22,19,28,0.679,8,30,38,21,9,5,13,13,112,19678,New Orleans Pelicans (27-41)
49,92,0.533,12,34,18,24,0.75,9,45,54,29,8,7,13,20,128,17972,New Orleans Pelicans (28-41)
49,90,0.544,14,30,11,15,0.733,9,34,43,31,7,2,16,15,123,16111,New Orleans Pelicans (29-41)
35,88,0.398,9,29,16,19,0.842,12,39,51,16,8,3,12,17,95,15973,New Orleans Pelicans (30-41)
41,91,0.451,14,38,11,14,0.786,6,30,36,28,9,7,10,15,107,18055,New Orleans Pelicans (30-42)
48,97,0.495,9,27,10,12,0.833,10,50,60,29,6,4,9,18,115,19850,New Orleans Pelicans (31-42)
37,80,0.463,10,25,16,24,0.667,5,32,37,17,7,7,9,17,100,18924,New Orleans Pelicans (31-43)
42,84,0.5,12,30,25,33,0.758,11,33,44,26,5,5,6,18,121,16000,New Orleans Pelicans (32-43)
46,95,0.484,10,33,15,19,0.789,10,35,45,28,16,12,12,13,117,17304,New Orleans Pelicans (33-43)
33,81,0.407,10,30,34,35,0.971,6,34,40,24,7,4,12,14,110,18306,New Orleans Pelicans (33-44)
51,100,0.51,14,32,15,17,0.882,10,25,35,30,5,8,7,16,131,16050,New Orleans Pelicans (33-45)
47,99,0.475,3,23,9,13,0.692,10,23,33,19,11,3,11,19,106,16348,New Orleans Pelicans (33-46)
42,86,0.488,5,21,12,19,0.632,6,28,34,24,3,1,8,15,101,19596,New Orleans Pelicans (33-47)
37,79,0.468,7,22,15,20,0.75,5,34,39,29,5,5,16,16,96,18997,New Orleans Pelicans (33-48)
40,90,0.444,8,24,15,21,0.714,11,31,42,20,13,3,11,17,103,19521,New Orleans Pelicans (34-48)
