fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
37,91,0.407,10,33,15,22,0.682,12,29,41,20,3,5,10,21,99,18624, 41-18 
47,86,0.547,25,46,16,20,0.8,5,28,33,31,7,5,14,24,135,18877, 42-18 
35,73,0.479,11,27,11,18,0.611,8,25,33,20,4,1,15,16,92,19600, 42-19 
35,78,0.449,9,27,19,29,0.655,11,41,52,15,3,6,17,15,98,20562, 42-20 
39,84,0.464,11,39,12,19,0.632,8,34,42,24,4,1,9,17,101,19421, 42-21 
43,86,0.5,15,39,15,25,0.6,9,43,52,30,1,6,9,18,116,18846, 43-21 
42,80,0.525,17,43,11,13,0.846,4,34,38,24,3,7,15,23,112,18055, 43-22 
46,77,0.597,19,30,17,23,0.739,3,38,41,29,4,3,9,18,128,20562, 44-22 
36,86,0.419,9,33,10,19,0.526,11,41,52,14,6,2,10,12,91,20562, 45-22 
32,83,0.386,5,27,9,13,0.692,4,36,40,15,5,0,12,24,78,19379, 45-23 
45,85,0.529,13,36,22,27,0.815,10,34,44,19,4,2,10,16,125,18997, 46-23 
43,85,0.506,15,37,12,14,0.857,7,31,38,22,4,4,10,12,113,19718, 46-24 
41,74,0.554,9,25,21,24,0.875,3,35,38,26,6,5,12,22,112,19511, 47-24 
41,83,0.494,12,33,21,27,0.778,11,21,32,24,6,6,13,18,115,20562, 47-25 
31,83,0.373,4,26,8,13,0.615,9,31,40,20,8,2,16,20,74,18418, 47-26 
37,83,0.446,10,27,9,16,0.563,9,35,44,23,6,5,15,22,93,22282, 47-27 
50,95,0.526,13,29,9,16,0.563,13,36,49,30,8,4,8,16,122,20562, 48-27 
47,95,0.495,18,43,23,33,0.697,15,41,56,29,7,4,13,19,135,20562, 49-27 
44,82,0.537,18,36,16,21,0.762,5,37,42,30,9,3,12,18,122,20562, 50-27 
43,92,0.467,11,36,17,18,0.944,13,38,51,19,7,5,10,26,114,18624, 51-27 
39,81,0.481,9,36,13,17,0.765,3,35,38,23,5,3,13,10,100,20562, 51-28 
45,98,0.459,19,46,16,20,0.8,13,40,53,28,4,3,14,27,125,18835, 51-29 
44,89,0.494,14,35,19,22,0.864,7,40,47,19,7,4,21,25,121,19673, 51-30 
28,76,0.368,10,37,17,24,0.708,10,32,42,20,5,7,15,14,83,20562, 51-31 
