fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
46,96,0.479,9,27,11,19,0.579,14,37,51,27,14,6,7,15,112,19607, 33-33 
37,99,0.374,4,19,18,19,0.947,16,29,45,20,6,1,8,19,96,20562, 33-34 
36,86,0.419,3,13,8,12,0.667,8,31,39,14,6,4,7,18,83,14033, 33-35 
29,83,0.349,3,20,14,21,0.667,12,37,49,14,5,5,12,17,75,16541, 33-36 
40,92,0.435,12,25,20,30,0.667,12,51,63,26,2,4,12,21,112,19588, 34-36 
40,92,0.435,5,23,11,16,0.688,10,41,51,17,8,8,6,17,96,14343, 34-37 
39,88,0.443,7,20,10,17,0.588,16,28,44,18,6,1,15,17,95,21503, 34-38 
34,96,0.354,2,22,17,20,0.85,12,38,50,21,3,3,8,17,87,18076, 34-39 
36,84,0.429,9,23,14,21,0.667,12,30,42,18,4,3,18,16,95,19812, 34-40 
36,85,0.424,8,27,16,21,0.762,16,35,51,20,7,5,12,23,96,17160, 34-41 
36,86,0.419,7,18,11,17,0.647,11,42,53,20,6,7,16,11,90,15804, 35-41 
44,97,0.454,7,30,10,16,0.625,13,41,54,25,8,4,12,27,105,18717, 35-42 
42,81,0.519,7,21,11,18,0.611,12,33,45,22,5,4,14,21,102,17578, 35-43 
46,108,0.426,9,26,13,16,0.813,18,37,55,27,5,1,6,17,114,18055, 36-43 
39,82,0.476,14,28,11,16,0.688,15,31,46,21,8,2,18,12,103,16521, 37-43 
43,94,0.457,10,26,5,5,1,6,30,36,22,9,2,10,18,101,21012, 37-44 
41,106,0.387,11,36,16,28,0.571,17,36,53,20,6,3,8,15,109,19458, 37-45 
