fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
44,89,0.494,5,21,25,31,0.806,9,36,45,28,10,7,17,26,118,18055, 20-42 
42,94,0.447,4,20,21,26,0.808,10,40,50,16,7,10,11,29,109,16790, 21-42 
44,88,0.5,13,27,26,33,0.788,9,40,49,23,5,8,19,32,127,16372, 21-43 
42,91,0.462,6,19,20,25,0.8,18,36,54,20,7,10,19,24,110,17552, 21-44 
38,83,0.458,6,21,18,20,0.9,5,35,40,18,5,7,11,24,100,20324, 22-44 
41,93,0.441,5,14,14,20,0.7,6,35,41,20,5,3,9,21,101,16664, 22-45 
43,107,0.402,6,25,9,14,0.643,16,31,47,24,9,11,13,25,101,17196, 22-46 
38,87,0.437,2,14,25,30,0.833,12,37,49,18,9,8,16,22,103,16880, 22-47 
35,99,0.354,6,22,19,30,0.633,11,36,47,16,10,4,4,21,95,19588, 22-48 
36,82,0.439,4,16,21,29,0.724,10,31,41,14,5,5,24,23,97,19600, 22-49 
34,93,0.366,7,25,23,34,0.676,15,35,50,16,14,3,19,30,98,15141, 22-50 
39,86,0.453,6,19,36,49,0.735,10,39,49,23,9,3,13,30,120,18624, 22-51 
41,81,0.506,6,16,18,22,0.818,8,31,39,25,6,3,12,17,106,17292, 22-52 
35,96,0.365,7,31,14,24,0.583,14,34,48,25,12,6,15,31,91,13412, 22-53 
49,92,0.533,7,23,13,24,0.542,13,30,43,24,6,2,14,27,118,16736, 22-54 
44,84,0.524,3,10,26,32,0.813,13,30,43,17,8,6,17,26,117,18915, 22-55 
42,100,0.42,8,34,24,29,0.828,22,39,61,24,8,11,23,24,116,17378, 22-56 
43,103,0.417,7,27,18,26,0.692,20,35,55,26,13,2,16,22,111,18055, 22-57 
43,83,0.518,8,18,26,31,0.839,12,33,45,16,6,6,7,26,120,18055, 23-57 
44,80,0.55,8,19,28,32,0.875,8,35,43,26,6,4,12,18,124,18055, 24-57 
41,109,0.376,8,30,14,24,0.583,18,30,48,19,8,3,9,23,104,17608, 24-58 
