fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts,attend,W/L
37,87,0.425,20,52,28,33,0.848,19,43,62,21,3,2,16,17,122,19060, (43-19)
39,78,0.5,18,42,27,36,0.75,10,33,43,25,10,4,14,20,123,18055, (44-19)
41,88,0.466,14,39,14,17,0.824,7,36,43,19,3,3,12,20,110,18418, (44-20)
35,79,0.443,8,32,30,40,0.75,10,21,31,22,9,4,8,20,108,16230, (44-21)
37,89,0.416,15,47,26,32,0.813,11,43,54,26,11,4,17,15,115,21995, (45-21)
41,96,0.427,16,45,19,28,0.679,20,32,52,25,10,4,6,17,117,18055, (46-21)
50,91,0.549,18,43,21,32,0.656,13,37,50,37,13,4,19,21,139,18055, (47-21)
37,91,0.407,13,40,25,32,0.781,10,36,46,18,6,3,12,19,112,17972, (47-22)
38,83,0.458,5,24,28,35,0.8,10,38,48,20,5,5,14,24,109,17512, (48-22)
45,89,0.506,17,38,18,23,0.783,6,29,35,27,12,2,12,22,125,16080, (49-22)
44,93,0.473,14,39,15,20,0.75,15,44,59,29,5,3,18,19,117,18055, (50-22)
50,79,0.633,20,39,17,21,0.81,2,34,36,32,8,4,19,23,137,18055, (51-22)
33,85,0.388,5,31,35,39,0.897,10,28,38,20,9,2,14,14,106,18055, (51-23)
40,91,0.44,8,34,19,23,0.826,13,29,42,18,9,3,18,20,107,20049, (51-24)
34,91,0.374,12,37,18,23,0.783,18,30,48,20,6,3,13,12,98,19596, (51-25)
47,100,0.47,14,38,15,23,0.652,13,33,46,23,8,4,15,23,123,"17,378", (52-25)
37,87,0.425,10,34,26,38,0.684,11,45,56,19,7,3,16,20,110,18055, (53-25)
36,87,0.414,16,51,21,28,0.75,9,40,49,25,3,6,11,15,109,18055, (53-26)
45,80,0.563,18,43,27,31,0.871,5,36,41,26,3,2,16,22,135,17608, (54-26)
33,84,0.393,9,40,21,27,0.778,9,32,41,23,5,3,15,23,96,19163, (54-27)
45,97,0.464,19,56,14,22,0.636,16,31,47,37,11,7,10,14,123,18055, (55-27)
