fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
33,77,0.429,10,30,11,14,0.786,8,29,37,16,5,3,11,18,87,19245, 3-14 
38,82,0.463,9,26,12,18,0.667,4,30,34,26,11,4,9,18,97,19703, 31-40 
31,82,0.378,7,28,17,20,0.85,12,28,40,20,10,4,12,16,86,19934, 31-41 
33,80,0.413,10,29,15,19,0.789,8,31,39,23,12,4,14,16,91,19970, 31-42 
44,91,0.484,14,27,16,17,0.941,8,30,38,25,3,4,5,21,118,16000, 31-43 
29,76,0.382,12,34,20,25,0.8,6,32,38,15,7,4,8,21,90,17317, 31-44 
38,73,0.521,14,36,19,20,0.95,4,26,30,25,7,1,13,18,109,18717, 32-44 
32,80,0.4,12,43,11,14,0.786,8,31,39,21,9,9,16,13,87,17608, 32-45 
38,86,0.442,11,31,14,18,0.778,11,33,44,24,5,3,16,26,101,19060, 32-46 
38,88,0.432,8,26,5,8,0.625,6,38,44,26,1,8,9,17,89,20133, 32-47 
41,97,0.423,16,45,13,19,0.684,17,27,44,23,5,2,10,23,111,18055, 32-48 
35,88,0.398,12,40,9,11,0.818,8,34,42,24,8,4,13,11,91,20333, 32-49 
33,75,0.44,9,34,25,31,0.806,8,29,37,21,9,5,12,19,100,16274, 33-49 
