fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,
42,86,0.488,9,23,15,19,0.789,8,33,41,27,6,2,9,18,108,17738,Minnesota Timberwolves (21-35)
41,86,0.477,6,18,24,28,0.857,9,36,45,20,12,4,7,15,112,13924,Minnesota Timberwolves (22-35)
41,78,0.526,5,13,10,14,0.714,9,35,44,24,9,4,16,12,97,15948,Minnesota Timberwolves (23-35)
49,94,0.521,9,26,23,28,0.821,21,37,58,28,10,2,23,26,130,18055,Minnesota Timberwolves (23-36)
40,95,0.421,8,23,14,20,0.7,16,36,52,25,11,7,10,15,102,17608,Minnesota Timberwolves (24-36)
39,78,0.5,8,16,21,26,0.808,10,38,48,23,11,7,10,15,107,19127,Minnesota Timberwolves (25-36)
35,89,0.393,4,16,16,22,0.727,16,39,55,24,6,3,14,20,90,18418,Minnesota Timberwolves (25-37)
42,86,0.488,5,20,18,20,0.9,14,36,50,26,10,4,12,23,107,14933,Minnesota Timberwolves (26-37)
39,88,0.443,4,14,21,27,0.778,14,32,46,21,6,3,11,18,103,20412,Minnesota Timberwolves (27-37)
37,81,0.457,5,13,16,21,0.762,11,27,38,21,4,4,12,22,95,18717,Minnesota Timberwolves (27-38)
45,86,0.523,10,21,19,22,0.864,8,38,46,27,8,7,15,24,119,15747,Minnesota Timberwolves (28-38)
40,91,0.44,8,27,16,20,0.8,15,27,42,26,4,1,8,21,104,18624,Minnesota Timberwolves (28-39)
41,82,0.5,2,12,21,22,0.955,9,19,28,14,6,6,11,21,105,19600,Minnesota Timberwolves (28-40)
44,86,0.512,9,25,12,17,0.706,8,27,35,30,11,6,15,14,109,16111,Minnesota Timberwolves (28-41)
32,72,0.444,7,15,22,25,0.88,12,27,39,20,10,2,23,24,93,13742,Minnesota Timberwolves (28-42)
46,95,0.484,7,21,20,22,0.909,12,25,37,32,13,10,13,20,119,18997,Minnesota Timberwolves (28-43)
37,76,0.487,2,10,24,32,0.75,6,21,27,15,10,3,7,14,100,19580,Minnesota Timberwolves (28-44)
37,78,0.474,9,20,32,37,0.865,11,24,35,22,10,9,14,22,115,17534,Minnesota Timberwolves (29-44)
43,89,0.483,10,21,23,30,0.767,14,26,40,30,9,5,10,20,119,18179,Minnesota Timberwolves (30-44)
39,87,0.448,9,27,30,38,0.789,10,31,41,27,8,4,10,23,117,18960,Minnesota Timberwolves (30-45)
41,84,0.488,4,9,24,28,0.857,12,32,44,26,3,5,11,18,110,14677,Minnesota Timberwolves (31-45)
41,96,0.427,4,19,21,26,0.808,19,31,50,22,9,3,13,19,107,19596,Minnesota Timberwolves (31-46)
38,87,0.437,4,18,18,20,0.9,9,38,47,16,7,4,13,20,98,19393,Minnesota Timberwolves (31-47)
39,79,0.494,7,16,28,28,1,9,25,34,22,11,1,12,25,113,19911,Minnesota Timberwolves (31-48)
40,80,0.5,3,15,26,31,0.839,8,33,41,27,8,6,14,16,109,18997,Minnesota Timberwolves (31-49)
38,86,0.442,5,20,17,25,0.68,11,24,35,24,12,3,11,17,98,19356,Minnesota Timberwolves (31-50)
48,91,0.527,11,23,11,15,0.733,10,39,49,37,7,3,15,15,118,18055,Minnesota Timberwolves (31-51)
