fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,
39,88,0.443,12,35,10,14,0.714,10,33,43,23,10,2,16,18,100,17608,Denver Nuggets (25-32)
49,97,0.505,14,31,17,24,0.708,11,40,51,32,11,2,13,24,129,17143,Denver Nuggets (26-32)
37,84,0.44,11,34,13,17,0.765,10,29,39,26,9,3,12,23,98,18024,Denver Nuggets (26-33)
45,80,0.563,13,30,22,24,0.917,6,39,45,26,6,2,16,16,125,21015,Denver Nuggets (27-33)
41,84,0.488,10,33,18,20,0.9,14,31,45,21,8,2,14,15,110,13214,Denver Nuggets (28-33)
36,80,0.45,9,30,21,25,0.84,11,34,45,21,5,3,13,20,102,14708,Denver Nuggets (28-34)
37,74,0.5,13,30,21,28,0.75,7,33,40,28,11,2,17,18,108,11614,Denver Nuggets (29-34)
46,87,0.529,13,28,8,17,0.471,10,29,39,31,6,2,16,16,113,12323,Denver Nuggets (29-35)
45,85,0.529,12,31,17,22,0.773,11,39,50,24,11,4,18,18,119,17147,Denver Nuggets (30-35)
40,85,0.471,9,34,16,18,0.889,9,35,44,21,8,8,9,16,105,17608,Denver Nuggets (31-35)
45,84,0.536,17,38,22,25,0.88,6,36,42,36,9,7,15,18,129,17344,Denver Nuggets (32-35)
46,86,0.535,15,28,22,26,0.846,11,37,48,31,7,2,10,14,129,14179,Denver Nuggets (33-35)
38,89,0.427,10,31,19,30,0.633,13,32,45,28,9,3,13,24,105,17512,Denver Nuggets (33-36)
44,86,0.512,12,29,24,26,0.923,8,40,48,26,7,3,19,18,124,16080,Denver Nuggets (33-37)
51,96,0.531,11,26,13,13,1,10,34,44,35,7,0,6,16,126,19718,Denver Nuggets (34-37)
39,82,0.476,7,27,40,43,0.93,11,34,45,23,8,4,13,15,125,17923,Denver Nuggets (35-37)
36,95,0.379,6,25,12,14,0.857,7,41,48,21,3,1,9,13,90,19850,Denver Nuggets (35-38)
44,94,0.468,9,30,16,20,0.8,12,35,47,23,3,6,12,24,113,20003,Denver Nuggets (35-39)
45,90,0.5,16,33,8,11,0.727,10,39,49,32,4,1,13,19,114,18353,Denver Nuggets (35-40)
44,87,0.506,5,20,23,27,0.852,6,34,40,25,9,6,8,14,116,19600,Denver Nuggets (36-40)
53,99,0.535,13,30,15,21,0.714,15,35,50,31,3,2,10,20,134,16050,Denver Nuggets (37-40)
41,104,0.394,7,38,15,18,0.833,12,39,51,26,10,5,12,24,104,18055,Denver Nuggets (37-41)
43,78,0.551,13,32,23,32,0.719,11,39,50,31,9,4,21,15,122,16348,Denver Nuggets (38-41)
40,84,0.476,11,34,14,15,0.933,4,38,42,22,6,4,12,16,105,19718,Denver Nuggets (38-42)
41,84,0.488,18,42,9,14,0.643,10,43,53,31,7,1,16,14,109,20333,Denver Nuggets (39-42)
39,85,0.459,7,25,26,32,0.813,5,38,43,22,6,8,15,17,111,18203,Denver Nuggets (40-42)
