fieldgoal,fieldgoalattempt,fgpct,3pt,3pa,fthrw,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pfoul,pts, ,W/L
31,72,0.431,13,31,29,38,0.763,9,32,41,16,2,1,15,22,104,14045, 13-56 
38,88,0.432,10,29,12,19,0.632,11,35,46,22,1,6,10,13,98,14343, 14-56 
43,95,0.453,8,29,32,42,0.762,17,44,61,25,11,5,17,26,126,15141, 15-56 
43,82,0.524,3,15,19,26,0.731,6,32,38,24,5,4,14,22,108,19616, 15-57 
38,86,0.442,6,22,25,30,0.833,12,38,50,21,13,7,17,25,107,15921, 16-57 
38,94,0.404,9,32,16,24,0.667,13,37,50,22,11,5,13,19,101,15471, 16-58 
35,92,0.38,10,31,9,12,0.75,8,38,46,17,4,4,12,16,89,15804, 16-59 
50,94,0.532,8,31,13,16,0.813,9,35,44,26,8,5,11,15,121,15976, 17-59 
32,82,0.39,10,33,17,20,0.85,8,43,51,21,11,6,19,22,91,15040, 18-59 
48,75,0.64,16,31,29,33,0.879,1,35,36,36,9,5,17,18,141,14580, 19-59 
40,87,0.46,11,30,16,22,0.727,7,32,39,21,7,6,14,19,107,18095, 19-60 
39,92,0.424,10,31,19,24,0.792,10,34,44,24,15,6,13,13,107,17732, 20-60 
31,86,0.36,8,31,35,39,0.897,9,40,49,18,8,6,12,19,105,18624, 20-61 
28,86,0.326,3,33,14,18,0.778,10,38,48,17,8,3,18,16,73,21648, 20-62 
