fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
43	82	0.524	4	15	0.267	15	20	0.75	10	23	33	21	10	5	17	21	105	17731	 01-00 
35	79	0.443	7	19	0.368	20	27	0.741	11	29	40	20	11	2	9	21	97	14441	 02-00 
29	80	0.363	3	11	0.273	10	13	0.769	9	36	45	16	8	0	18	22	71	18133	 03-00 
31	76	0.408	4	14	0.286	27	37	0.73	9	43	52	19	5	6	11	24	93	15302	 04-00 
40	80	0.5	9	17	0.529	13	17	0.765	8	29	37	25	10	1	16	21	102	15377	 05-00 
34	81	0.42	9	18	0.5	14	17	0.824	9	29	38	21	10	4	8	14	91	18203	 06-00 
29	82	0.354	3	14	0.214	31	34	0.912	15	25	40	15	9	2	13	18	92	13841	 06-01 
41	78	0.526	4	11	0.364	21	26	0.808	12	26	38	21	8	2	13	18	107	17618	 07-01 
39	77	0.506	6	9	0.667	27	34	0.794	8	22	30	24	9	4	9	25	111	15666	 08-01 
32	86	0.372	4	15	0.267	27	33	0.818	18	35	53	18	5	4	8	18	95	17215	 09-01 
46	86	0.535	7	17	0.412	20	22	0.909	10	28	38	27	14	5	10	19	119	17012	 10-01 
35	80	0.438	3	10	0.3	19	26	0.731	15	35	50	16	8	4	13	16	92	19800	 10-02 
48	91	0.527	8	16	0.5	13	14	0.929	9	41	50	31	4	4	14	16	117	17712	 11-02 
42	85	0.494	7	21	0.333	16	23	0.696	12	40	52	20	3	3	17	21	107	18119	 12-02 
36	80	0.45	5	22	0.227	22	25	0.88	10	35	45	25	7	6	14	20	99	18997	 13-02 
45	84	0.536	6	13	0.462	16	26	0.615	8	38	46	28	7	4	9	14	112	19459	 14-02 
38	79	0.481	3	13	0.231	18	28	0.643	10	25	35	25	13	4	13	27	97	16240	 15-02 
39	76	0.513	2	13	0.154	16	27	0.593	10	29	39	26	9	7	20	15	96	18151	 15-03 
37	80	0.463	5	12	0.417	22	26	0.846	7	30	37	19	4	7	10	19	101	18119	 15-04 
43	73	0.589	8	13	0.615	9	11	0.818	7	31	38	24	7	4	12	14	103	16572	 16-04 
41	85	0.482	7	14	0.5	25	29	0.862	12	29	41	20	10	1	5	17	114	16512	 17-04 
39	85	0.459	6	13	0.462	29	38	0.763	7	40	47	21	7	9	20	22	113	15897	 18-04 
45	93	0.484	11	26	0.423	19	27	0.704	9	33	42	33	9	4	14	24	120	13698	 19-04 
