fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
42	80	0.525	6	19	0.316	21	31	0.677	6	36	42	20	8	9	15	19	111	17458	 01-00 
38	87	0.437	8	31	0.258	20	33	0.606	8	45	53	21	6	8	8	17	104	19218	 02-00 
39	76	0.513	4	17	0.235	32	46	0.696	6	35	41	25	4	9	17	22	114	19060	 03-00 
37	81	0.457	8	26	0.308	20	23	0.87	3	43	46	20	4	5	11	18	102	19060	 04-00 
43	88	0.489	8	22	0.364	14	22	0.636	10	31	41	24	6	4	11	26	108	19596	 04-01 
42	88	0.477	4	22	0.182	17	25	0.68	11	30	41	29	8	5	12	23	105	19361	 04-02 
28	68	0.412	5	19	0.263	33	37	0.892	8	32	40	14	5	8	18	20	94	19060	 05-02 
37	86	0.43	12	27	0.444	22	33	0.667	13	28	41	21	4	2	10	24	108	19805	 05-03 
40	90	0.444	9	26	0.346	15	28	0.536	12	25	37	17	13	3	14	17	104	17204	 05-04 
37	79	0.468	7	19	0.368	20	26	0.769	11	31	42	23	6	4	13	23	101	19060	 06-04 
44	88	0.5	13	29	0.448	16	24	0.667	9	26	35	21	11	2	10	25	117	19528	 06-05 
38	86	0.442	7	24	0.292	8	16	0.5	10	32	42	24	6	5	13	24	91	19393	 06-06 
29	74	0.392	7	32	0.219	15	20	0.75	12	30	42	21	9	9	19	30	80	19060	 06-07 
37	79	0.468	8	20	0.4	29	47	0.617	11	32	43	24	10	8	7	25	111	13257	 07-07 
38	75	0.507	4	12	0.333	11	17	0.647	11	24	35	18	11	7	19	22	91	19060	 07-08 
40	83	0.482	7	19	0.368	24	30	0.8	5	44	49	27	6	7	13	20	111	19162	 08-08 
39	75	0.52	8	22	0.364	21	33	0.636	7	32	39	24	3	5	13	21	107	19060	 09-08 
33	85	0.388	8	19	0.421	28	56	0.5	18	37	55	26	7	5	10	22	102	19060	 10-08 
