fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
35	75	0.467	2	12	0.167	15	21	0.714	4	34	38	15	4	5	12	25	87	18434	 00-01 
36	88	0.409	7	13	0.538	20	25	0.8	13	38	51	19	10	9	7	22	99	17122	 01-01 
39	88	0.443	6	15	0.4	13	18	0.722	15	32	47	15	13	4	17	24	97	14412	 02-01 
33	88	0.375	5	24	0.208	21	33	0.636	16	24	40	9	12	8	9	22	92	19911	 02-02 
37	85	0.435	11	24	0.458	11	17	0.647	12	31	43	23	6	6	10	26	96	9906	 03-02 
31	74	0.419	12	27	0.444	15	18	0.833	9	40	49	18	7	10	21	20	89	19456	 04-02 
40	82	0.488	10	22	0.455	24	28	0.857	13	24	37	30	11	0	16	35	114	20562	 04-03 
34	89	0.382	4	17	0.235	19	25	0.76	11	31	42	13	10	9	10	23	91	19600	 04-04 
34	87	0.391	8	25	0.32	17	23	0.739	12	29	41	24	14	6	17	24	93	16709	 04-05 
39	76	0.513	7	21	0.333	12	17	0.706	10	30	40	21	7	7	17	15	97	14436	 05-05 
35	72	0.486	7	22	0.318	16	22	0.727	7	34	41	15	9	5	17	20	93	18741	 06-05 
35	80	0.438	6	20	0.3	17	21	0.81	18	30	48	14	4	2	17	24	93	20028	 06-06 
28	73	0.384	5	19	0.263	28	40	0.7	13	28	41	15	11	3	21	18	89	19911	 06-07 
39	77	0.506	6	13	0.462	18	25	0.72	11	28	39	19	12	4	16	20	102	19060	 07-07 
38	82	0.463	9	18	0.5	16	21	0.762	12	37	49	18	11	9	15	25	101	19911	 08-07 
40	89	0.449	6	19	0.316	17	22	0.773	10	25	35	18	9	2	8	16	103	19911	 08-08 
31	72	0.431	14	33	0.424	18	24	0.75	5	34	39	18	4	8	19	16	94	19247	 08-09 
43	92	0.467	8	23	0.348	28	37	0.757	19	35	54	21	7	3	15	30	122	19500	 09-09 
38	92	0.413	15	36	0.417	15	22	0.682	19	25	44	23	7	0	12	22	106	16505	 09-10 
39	80	0.488	9	21	0.429	19	23	0.826	9	42	51	26	6	2	14	26	106	18586	 10-10 
33	78	0.423	8	28	0.286	16	24	0.667	11	28	39	17	7	4	11	16	90	19911	 10-11 
39	94	0.415	8	22	0.364	12	20	0.6	16	28	44	14	6	2	11	24	98	18203	 10-12 
32	79	0.405	3	11	0.273	14	17	0.824	7	25	32	18	8	3	11	23	81	18418	 10-13 
32	67	0.478	7	20	0.35	23	29	0.793	5	29	34	17	4	4	12	20	94	17899	 10-14 
34	73	0.466	10	25	0.4	19	25	0.76	5	34	39	15	8	1	14	19	97	19169	 11-14 
36	79	0.456	9	25	0.36	29	37	0.784	11	36	47	16	8	6	10	16	110	19911	 12-14 
33	80	0.413	7	20	0.35	12	14	0.857	12	28	40	14	9	3	19	18	85	19596	 12-15 
36	74	0.486	10	27	0.37	22	27	0.815	8	28	36	18	7	4	16	22	104	19911	 12-16 
28	84	0.333	7	26	0.269	32	36	0.889	15	38	53	13	11	9	15	18	95	19911	 13-16 
28	80	0.35	10	39	0.256	14	20	0.7	15	29	44	15	8	8	19	24	80	14326	 13-17 
43	86	0.5	15	33	0.455	8	11	0.727	12	30	42	19	7	5	5	18	109	19380	 14-17 
31	75	0.413	9	27	0.333	21	28	0.75	9	39	48	17	4	7	16	24	92	18455	 15-17 
30	75	0.4	12	29	0.414	19	25	0.76	15	29	44	17	9	4	15	20	91	17912	 15-18 
37	79	0.468	7	18	0.389	17	18	0.944	10	24	34	21	8	3	18	17	98	18418	 15-19 
38	78	0.487	7	28	0.25	11	17	0.647	10	25	35	25	9	5	19	17	94	18155	 15-20 
39	71	0.549	9	20	0.45	11	18	0.611	5	32	37	19	10	7	16	16	98	19911	 16-20 
