fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
49	95	0.516	7	19	0.368	12	18	0.667	5	32	37	17	8	3	9	27	117	17583	 00-01 
50	96	0.521	10	25	0.4	19	26	0.731	9	30	39	24	6	2	13	26	129	18337	 00-02 
50	91	0.549	10	22	0.455	21	28	0.75	12	34	46	28	11	7	17	26	131	18203	 01-02 
45	86	0.523	13	31	0.419	9	20	0.45	9	30	39	29	7	6	16	17	112	13214	 01-03 
35	83	0.422	6	18	0.333	21	33	0.636	15	42	57	19	7	5	14	15	97	14198	 02-03 
44	95	0.463	14	37	0.378	14	23	0.609	14	39	53	25	8	4	18	18	116	14101	 03-03 
48	97	0.495	12	26	0.462	15	25	0.6	9	37	46	28	8	8	12	23	123	19600	 04-03 
41	84	0.488	8	22	0.364	17	26	0.654	8	43	51	22	8	6	15	20	107	15074	 05-03 
53	98	0.541	14	35	0.4	26	32	0.813	10	36	46	38	14	3	14	29	146	12095	 06-03 
42	95	0.442	14	36	0.389	11	22	0.5	8	36	44	24	6	4	15	26	109	17341	 06-04 
42	88	0.477	8	23	0.348	13	18	0.722	6	25	31	27	10	5	15	26	105	17583	 06-05 
43	95	0.453	12	32	0.375	23	29	0.793	12	37	49	25	7	6	12	29	121	17583	 07-05 
32	92	0.348	6	25	0.24	16	20	0.8	13	37	50	11	7	5	19	20	86	17583	 07-06 
43	86	0.5	11	24	0.458	7	12	0.583	7	38	45	27	12	3	12	20	104	15500	 08-06 
37	80	0.463	12	33	0.364	18	24	0.75	9	33	42	23	9	2	21	24	104	13811	 08-07 
46	102	0.451	11	35	0.314	9	12	0.75	13	26	39	23	10	3	14	21	112	18055	 08-08 
45	102	0.441	16	38	0.421	11	17	0.647	14	45	59	29	7	4	15	18	117	16250	 09-08 
47	89	0.528	11	25	0.44	14	19	0.737	8	40	48	27	5	4	11	30	119	18306	 10-08 
42	97	0.433	11	28	0.393	21	29	0.724	13	34	47	28	6	4	8	22	116	19596	 10-09 
40	85	0.471	9	23	0.391	23	31	0.742	7	29	36	20	10	7	17	25	112	16048	 10-10 
46	96	0.479	7	24	0.292	22	26	0.846	16	32	48	26	4	2	11	25	121	17583	 10-11 
41	91	0.451	13	29	0.448	16	24	0.667	14	32	46	25	10	3	20	16	111	17583	 11-11 
45	84	0.536	11	24	0.458	21	32	0.656	9	33	42	27	13	3	13	22	122	12977	 12-11 
56	98	0.571	13	29	0.448	4	7	0.571	10	25	35	31	6	5	9	18	129	19432	 13-11 
38	90	0.422	9	32	0.281	12	15	0.8	12	31	43	24	9	8	13	21	97	16867	 13-12 
40	88	0.455	16	37	0.432	12	15	0.8	10	32	42	28	16	4	16	15	108	18164	 14-12 
50	86	0.581	19	38	0.5	22	32	0.688	9	29	38	34	3	6	10	21	141	15770	 15-12 
45	96	0.469	15	44	0.341	20	25	0.8	7	35	42	33	6	3	13	28	125	17583	 15-13 
46	98	0.469	9	31	0.29	19	21	0.905	11	36	47	20	6	7	9	26	120	19935	 16-13 
38	90	0.422	14	38	0.368	15	23	0.652	6	32	38	20	5	4	15	27	105	12417	 16-14 
39	93	0.419	13	34	0.382	22	33	0.667	10	33	43	28	7	5	13	18	113	17583	 16-15 
33	88	0.375	15	41	0.366	21	29	0.724	12	30	42	25	10	5	9	15	102	16369	 17-15 
42	100	0.42	14	31	0.452	24	33	0.727	12	38	50	26	9	4	9	21	122	16643	 18-15 
49	104	0.471	10	30	0.333	10	15	0.667	12	31	43	26	8	10	13	21	118	19068	 18-16 
45	101	0.446	10	29	0.345	17	21	0.81	16	32	48	25	10	5	14	20	117	17583	 19-16 
46	95	0.484	13	34	0.382	9	12	0.75	9	36	45	24	8	5	13	23	114	18997	 19-17 
44	115	0.383	11	33	0.333	9	12	0.75	14	39	53	24	13	4	13	23	108	17583	 19-18 
45	90	0.5	13	31	0.419	10	15	0.667	7	26	33	25	5	3	8	23	113	17583	 19-19 
46	97	0.474	20	36	0.556	11	14	0.786	14	29	43	34	12	0	8	18	123	17583	 19-20 
45	98	0.459	10	34	0.294	11	20	0.55	9	48	57	24	11	4	9	18	111	15724	 20-20 
38	80	0.475	15	29	0.517	20	29	0.69	12	31	43	26	11	5	25	19	111	13977	 20-21 
44	86	0.512	9	22	0.409	15	20	0.75	11	36	47	29	7	8	19	22	112	16916	 21-21 
41	99	0.414	14	37	0.378	8	12	0.667	12	37	49	27	8	5	11	21	104	17853	 22-21 
43	87	0.494	10	26	0.385	19	24	0.792	11	37	48	24	6	6	13	23	115	17583	 23-21 
39	88	0.443	11	33	0.333	6	13	0.462	11	31	42	28	7	3	17	22	95	15431	 23-22 
40	89	0.449	10	25	0.4	13	18	0.722	11	28	39	30	5	5	11	20	103	15377	 24-22 
