fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
52	98	0.531	10	25	0.4	17	22	0.773	14	40	54	36	8	3	12	25	131	18055	 01-00 
56	95	0.589	16	31	0.516	21	33	0.636	12	40	52	35	6	4	16	25	149	18337	 02-00 
40	93	0.43	6	24	0.25	30	40	0.75	12	36	48	22	12	8	8	24	116	14625	 03-00 
44	98	0.449	9	23	0.391	20	26	0.769	15	31	46	23	11	11	11	20	117	15272	 04-00 
40	95	0.421	9	34	0.265	22	29	0.759	11	29	40	22	4	5	16	32	111	16373	 04-01 
43	82	0.524	11	24	0.458	14	20	0.7	7	37	44	28	8	5	22	25	111	15217	 04-02 
44	92	0.478	12	35	0.343	21	27	0.778	12	30	42	24	8	2	15	26	121	19596	 04-03 
40	94	0.426	8	29	0.276	31	37	0.838	14	30	44	23	7	3	12	24	119	18921	 04-04 
36	77	0.468	6	21	0.286	17	30	0.567	6	42	48	22	3	8	16	21	95	18354	 04-05 
41	84	0.488	9	29	0.31	25	30	0.833	11	34	45	27	8	5	20	26	116	18203	 04-06 
42	94	0.447	11	30	0.367	12	17	0.706	11	44	55	32	5	10	15	18	107	15514	 05-06 
42	86	0.488	11	25	0.44	24	29	0.828	16	38	54	28	7	7	18	18	119	15222	 06-06 
54	99	0.545	10	27	0.37	8	13	0.615	14	40	54	30	2	4	13	20	126	19800	 07-06 
40	94	0.426	9	28	0.321	11	18	0.611	10	36	46	25	7	6	18	21	100	11636	 07-07 
48	99	0.485	10	34	0.294	23	32	0.719	11	43	54	27	5	5	15	25	129	14717	 08-07 
42	87	0.483	10	25	0.4	31	34	0.912	10	36	46	29	6	8	11	18	125	15408	 09-07 
59	102	0.578	10	26	0.385	12	14	0.857	14	28	42	34	10	5	10	23	140	14675	 10-07 
42	98	0.429	11	30	0.367	25	33	0.758	20	34	54	24	8	8	15	21	120	20352	 10-08 
40	101	0.396	7	28	0.25	22	29	0.759	20	35	55	26	5	5	14	22	109	18948	 10-09 
43	90	0.478	11	31	0.355	17	21	0.81	7	36	43	23	10	3	16	21	114	15165	 10-10 
34	77	0.442	12	32	0.375	27	29	0.931	9	31	40	21	8	5	22	20	107	15189	 10-11 
46	95	0.484	11	36	0.306	22	28	0.786	17	47	64	24	10	5	20	20	125	13570	 11-11 
35	82	0.427	6	28	0.214	25	29	0.862	11	35	46	25	4	8	16	22	101	19600	 11-12 
44	86	0.512	11	32	0.344	20	24	0.833	9	41	50	30	6	5	17	25	119	15336	 12-12 
49	92	0.533	13	34	0.382	15	22	0.682	10	25	35	32	10	5	7	24	126	13822	 12-13 
51	92	0.554	17	29	0.586	13	20	0.65	5	41	46	36	12	6	11	15	132	14810	 13-13 
38	84	0.452	7	29	0.241	20	24	0.833	10	32	42	25	5	5	18	25	103	18447	 13-14 
42	79	0.532	12	30	0.4	20	23	0.87	8	39	47	27	5	8	18	19	116	14705	 14-14 
39	87	0.448	8	26	0.308	14	19	0.737	6	33	39	28	11	1	13	19	100	18624	 14-15 
45	97	0.464	4	18	0.222	24	30	0.8	17	39	56	29	14	3	17	27	118	14450	 15-15 
35	86	0.407	13	36	0.361	13	17	0.765	11	27	38	26	12	5	10	22	96	15535	 15-16 
43	92	0.467	19	42	0.452	10	15	0.667	7	34	41	28	6	7	15	22	115	17341	 15-17 
44	102	0.431	8	27	0.296	8	16	0.5	14	39	53	27	8	6	12	24	104	18997	 15-18 
44	94	0.468	6	26	0.231	23	28	0.821	12	46	58	26	6	9	12	29	117	16643	 15-19 
42	90	0.467	12	27	0.444	23	30	0.767	7	32	39	25	4	2	10	27	119	20340	 15-20 
44	96	0.458	4	23	0.174	22	27	0.815	20	29	49	22	7	4	11	28	114	18364	 16-20 
41	92	0.446	9	28	0.321	13	17	0.765	8	37	45	25	7	5	14	23	104	17555	 16-21 
45	87	0.517	14	25	0.56	19	21	0.905	11	33	44	28	3	2	15	21	123	14904	 17-21 
46	87	0.529	10	23	0.435	19	27	0.704	10	31	41	19	7	5	12	20	121	16890	 17-22 
47	81	0.58	14	27	0.519	25	29	0.862	10	34	44	29	13	7	14	18	133	19432	 18-22 
44	79	0.557	6	17	0.353	20	29	0.69	5	35	40	27	13	4	14	18	114	14624	 19-22 
46	84	0.548	12	29	0.414	36	39	0.923	11	33	44	33	7	7	16	21	140	15058	 20-22 
40	87	0.46	5	24	0.208	21	24	0.875	10	38	48	22	7	8	15	20	106	16384	 20-23 
46	105	0.438	8	25	0.32	21	28	0.75	15	34	49	28	8	7	6	19	121	15283	 21-23 
47	98	0.48	19	37	0.514	27	33	0.818	7	42	49	36	6	5	10	23	140	19596	 21-24 
41	84	0.488	8	25	0.32	22	27	0.815	7	34	41	23	4	6	12	24	112	19598	 21-25 
39	74	0.527	9	26	0.346	18	26	0.692	7	43	50	19	8	7	19	17	105	17794	 22-25 
42	91	0.462	6	22	0.273	4	9	0.444	8	41	49	20	3	9	12	18	94	18181	 22-26 
49	101	0.485	10	36	0.278	8	12	0.667	8	34	42	34	7	6	12	16	116	18203	 22-27 
45	96	0.469	7	27	0.259	17	24	0.708	10	31	41	26	6	6	8	18	114	17724	 22-28 
46	90	0.511	9	31	0.29	20	25	0.8	13	42	55	27	8	9	17	17	121	18055	 23-28 
37	89	0.416	15	36	0.417	10	13	0.769	8	40	48	27	4	4	14	20	99	14211	 23-29 
43	96	0.448	10	35	0.286	12	12	1	5	37	42	26	6	4	8	16	108	18354	 23-30 
39	90	0.433	9	38	0.237	20	24	0.833	13	42	55	26	6	4	16	19	107	15780	 23-31 
45	85	0.529	15	35	0.429	20	30	0.667	14	32	46	26	1	6	11	18	125	18116	 24-31 
43	91	0.473	9	30	0.3	27	28	0.964	8	37	45	27	11	7	11	21	122	16980	 25-31 
34	86	0.395	6	33	0.182	16	27	0.593	17	35	52	25	6	5	15	22	90	16841	 25-32 
36	94	0.383	10	29	0.345	6	8	0.75	8	34	42	21	5	8	14	16	88	15733	 25-33 
50	92	0.543	12	26	0.462	19	24	0.792	13	38	51	35	7	7	14	15	131	15686	 26-33 
43	93	0.462	8	27	0.296	17	30	0.567	14	37	51	25	5	5	17	25	111	16962	 26-34 
50	96	0.521	15	40	0.375	13	16	0.813	9	32	41	31	14	4	17	21	128	18626	 27-34 
44	104	0.423	5	28	0.179	17	24	0.708	14	40	54	29	15	8	13	19	110	17194	 27-35 
46	102	0.451	7	35	0.2	20	27	0.741	14	38	52	31	6	3	13	27	119	18997	 27-36 
50	87	0.575	16	27	0.593	14	20	0.7	10	40	50	34	13	4	24	18	130	14123	 28-36 
45	92	0.489	12	30	0.4	18	26	0.692	12	35	47	28	10	4	21	25	120	19978	 29-36 
46	96	0.479	9	20	0.45	14	18	0.778	12	32	44	24	12	5	8	20	115	18306	 30-36 
41	89	0.461	9	24	0.375	13	20	0.65	7	34	41	17	6	4	17	23	104	14681	 30-37 
43	105	0.41	10	39	0.256	8	13	0.615	14	37	51	28	11	0	17	12	104	17325	 30-38 
45	101	0.446	18	41	0.439	8	8	1	5	37	42	29	6	9	8	17	116	14337	 30-39 
46	107	0.43	10	47	0.213	11	16	0.688	13	37	50	27	3	4	15	23	113	15562	 30-40 
45	94	0.479	8	30	0.267	12	25	0.48	14	31	45	31	7	6	11	23	110	16117	 30-41 
47	102	0.461	15	30	0.5	27	41	0.659	18	39	57	34	11	4	22	30	136	17641	 30-42 
49	104	0.471	12	39	0.308	19	22	0.864	14	41	55	34	7	6	17	28	129	20276	 31-42 
38	102	0.373	10	34	0.294	10	13	0.769	14	35	49	24	9	2	13	15	96	17005	 31-43 
38	92	0.413	7	28	0.25	7	10	0.7	15	29	44	26	9	3	15	9	90	17048	 31-44 
39	83	0.47	12	34	0.353	30	40	0.75	8	37	45	28	10	6	24	23	120	14751	 31-45 
49	97	0.505	9	28	0.321	14	14	1	8	37	45	27	6	6	12	16	121	13976	 32-45 
38	83	0.458	8	31	0.258	18	21	0.857	5	40	45	19	5	1	24	16	102	18562	 32-46 
40	85	0.471	15	41	0.366	14	17	0.824	7	41	48	25	7	4	19	27	109	16844	 32-47 
49	101	0.485	8	23	0.348	20	27	0.741	15	38	53	28	4	4	15	21	126	16410	 32-48 
52	101	0.515	19	42	0.452	10	12	0.833	14	41	55	28	4	11	15	16	133	17583	 33-48 
44	99	0.444	9	33	0.273	6	10	0.6	7	35	42	29	9	1	10	15	103	17090	 33-49 
